,Airports,GDP per capita,Population density
Alabama,25,41389,94.4
Alaska,412,74422,1.2
Arizona,42,44161,56.3
Arkansas,30,39580,56
California ,145,70662,239.1
Colorado,38,61311,48.5
Connecticut,9,69789,738.1
Deleware,3,64985,460.8
District of Columbia,3,69761,9856.5
Florida ,66,44267,350.6
Georgia ,38,58933,168.4
Hawaii ,20,58981,211.8
Idaho,13,40566,19
Illinois,45,69886,231.1
Indiana,37,49321,186.8
Iowa,47,55051,54.5
Kansas ,37,53528,34.9
Kentucky,14,42386,109.9
Louisiana,21,51729,104.9
Maine,19,43541,43.1
Maryland ,16,61926,594.8
Massachusetts,26,75258,839.4
Michigan ,47,47488,174.8
Minnesota,43,60066,66.6
Mississipi,28,35015,63.2
Missouri,28,47407,87.1
Montana ,27,44145,6.8
Nebraska,33,59386,23.8
Nevada,27,50043,24.6
New Hampshire,12,57272,147
New Jersey,17,63492,1195.5
New Mexico,31,46304,17
New York,56,75131,411.2
North Carolina ,32,48496,196.1
North Dakota,15,70991,9.7
Ohio,37,52664,282.3
Oklahoma,40,50876,54.7
Oregon,33,52726,39.9
Pennsylvania,47,56868,283.9
Rhode Island,5,51963,1018.1
South Carolina,27,41457,153.9
South Dakota,17,53212,10.7
Tennessee,24,48440,88.4
Texas,117,61682,96.3
Utah,30,51407,33.6
Vermont,7,48855,67.9
Virginia,24,56938,202.6
Washington ,52,80500,101.2
West Virginia,14,40265,77.1
Wisconsin,43,52534,105
Wyoming ,29,67915,5.8
